_id,tanggal,jam,title,deskripsi
73,2017-06-13T00:00:00,13:00:00,Rapat Kerja Komisi VIII DPR RI dengan Menteri Sosial RI.,Pembahasan Pembicaraan Pendahuluan RAPBN TA 2018 dan RKP Tahun 2018.
74,2017-06-13T00:00:00,14:00:00,"RDP KOMISI V DGN DITJEN PPMD, DITJEN PKP, DITJEN DPT KEMENDES, PDT DAN TRANS",Membahas rincian program unit Eselon I dalam RAPBN TA 2018
75,2017-06-13T00:00:00,14:00:00,Rapat Kerja Pansus RUU Penyelenggaraan Pemilu dengan Pemerintah,Agenda : membahas 5 Isue Krusial
76,2017-06-13T00:00:00,15:00:00,RDP Komisi X DPR RI dengan Kepala Perpustakaan Nasional RI,"1. Laporan Ikhtisar Hasil Pemeriksaan BPK RI Semester I dan II Tahun 2016;
2. Laporan Hasil Pemeriksaan BPK RI atas Laporan Keuangan Pemerintah Tahun 2016;
3. Pembahasan RKP dan RKA K/L Tahun 2018."
77,2017-06-14T00:00:00,08:00:00,Ketua DPR RI melakukan  Kunjungan ke Magetan Provinsi Jawa Timur,Dalam rangka Safari Ramadhan
78,2017-06-14T00:00:00,09:00:00,"Kunjungan Spesifik ke Provinsi Sumatera Utara, Jawa Timur dan Nusa Tenggara Barat",Peninjauan pasar dalam rangka persiapan hari raya Idul Fitri  1438 H
79,2017-06-14T00:00:00,10:00:00,Rapat Kerja Komisi I DPR RI dengan Ka BIN. (Rapat Tertutup),Pembahasan RKA KL & RKP KL BIN TA. 2018 & Isu aktual.
80,2017-06-14T00:00:00,10:00:00,"RDP KOMISI V DGN SETJEN, ITJEN, BALITBANG, BPSDM-P KEMENHUB",MEMBAHAS RINCIAN PROGRAM UNIT ESELON I DALAM RAPBN TA 2018
81,2017-06-14T00:00:00,10:00:00,Rapat Kerja Komisi VIII DPR RI dengan Menteri Pemberdayaan Perempuan dan Perlindungan Anak RI,Pembahasan Pembicaraan Pendahuluan RAPBN TA 2018 dan RKP Tahun 2018.
82,2017-06-14T00:00:00,10:00:00,Badan Anggaran DPR RI - Rapat Kerja dengan Menko Bidang Perekonomian dan Menko Bidang Kemaritiman,"1. Membahas RKA K/L Kemenko Bidang Perekonomian dan Kemenko Bidang Kemaritiman dalam RAPBN TA. 2018 
2. Rencana Kerja K/L  Tahun 2018"
83,2017-06-14T00:00:00,10:00:00,RAKER KOMISI IV DPR RI DGN MENTERI LINGKUNGAN HIDUP DAN KEHUTANAN RI,Pembahasan perubahan peruntukkan kawsaan hutan yang berdampak penting cakupan luas dan bernilai strategis (DPCLS) dalam revisi rencana tata ruang wilayah provinsi (RTRWP)
84,2017-06-14T00:00:00,10:00:00,Rapat Kerja dengan Komisi IV DPR RI dengan Menteri Lingkungan Hidup dan Kehutanan,Rapat Kerja dengan Komisi IV DPR RI dengan Menteri Lingkungan Hidup dan Kehutanan pukul 10.00 WIB membahas RTRWP dan pkl. 13.00 WIB membahas RKA-K/L dan RKP-K/L tahun 2018.
85,2017-06-14T00:00:00,10:00:00,RDP Komisi X DPR RI dengan Ka. Bekraf RI,"1. Laporan ikhtisar hasil pemeriksaan BPK RI Semester I dan II Tahun 2016;
2. Laporan hasil pemeriksaan BPK RI atas laporan keuangan pemerintah Tahun 2016;
3. Pembahasan RKP dan RKA K/L Tahun 2018."
86,2017-06-14T00:00:00,10:00:00,Rapat Kerja Pansus RUU Penyelenggaraan Pemilu dengan Pemerintah,Agenda : membahas 5 isue krusial
87,2017-06-14T00:00:00,10:00:00,RAPAT PANJA PANSUS RUU TENTANG PEMBERANTASAN TINDAK PIDANA TERORISME,"RAPAT PANJA PANSUS RUU TENTANG PEMBERANTASAN TINDAK PIDANA TERORISME DENGAN PEMERINTAH DI RR PANJA, GD. NUSANTARA II PARIPURNA DPR RI, LANTAI 2, DENGAN AGENDA: MELANJUTKAN PEMBAHASAN DAFTAR INVENTARISASI MASALAH(DIM)."
88,2017-06-14T00:00:00,13:00:00,RDP BALEG dengan Pertamina Harmonisasi RUU Migas,.
89,2017-06-14T00:00:00,13:00:00,RDP BALEG dengan PGN dalam rangka Harmonisasi RUU Migas,.
90,2017-06-14T00:00:00,13:00:00,"Badan Anggaran DPR RI - Rapat Panja Asumsi Dasar, Kebijakan Fiskal, Pendapatan, Defisit dan Pembiayaan dengan Pemerintah","Melanjutkan Pembahasan Asumsi Dasar, Kebijakan Fiskal, Pendapatan, Defisit dan Pembiayaan  dalam RAPBN TA. 2018"
91,2017-06-14T00:00:00,13:00:00,RAKER KOMISI IV DPR RI DGN MENTERI LINGKUNGAN HIDUP DAN KEHUTANAN,PEMBAHASAN RKA K/L DAN RKP K/L TAHUN 2018.
92,2017-06-14T00:00:00,13:00:00,RAPAT PANJA PANSUS RUU TENTANG PEMBERANTASAN TINDAK PIDANA TERORISME,"Agenda: Pembahasan Daftar Inventarisasi Masalah(DIM) di Ruang Rapat Panja, GD. Nusantara II Paripurna DPR RI, lantai 2."
93,2017-06-14T00:00:00,14:00:00,"RDP KOMISI V DGN DITJEN HUBDAT, DITJEN PERKERETAAPIAN, BPTJ KEMENHUB",MEMBAHAS RINCIAN PROGRAM UNIT ESELON I DALAM RAPBN TA 2018
94,2017-06-14T00:00:00,14:00:00,Rapat Kerja Komisi VIII DPR RI dengan Kepala Badan Nasional Penanggulangan Bencana.,Pembahasan Pembicaraan Pendahuluan RAPBN TA 2018 dan RKP Tahun 2018.
95,2017-06-14T00:00:00,14:00:00,Rapat Kerja Pansus RUU Penyelenggaraan Pemilu dengan Pemerintah,Agenda : membahas 5 Isue krusial
96,2017-06-14T00:00:00,19:00:00,Rapat Timsin RUU Pengelenggaraan Pemilihan Umum dengan Pemerintah,Agenda : mensinkronkan draf akhir RUU tentang Penyelenggaraan Pemilu
97,2017-06-15T00:00:00,10:00:00,Rapat Kerja Komisi VI DPR RI dengan Menteri Perdagangan,Melanjutkan Rapat Kerja tanggal 5 Juni 2017 membahasa Peraturan Menteri Perdagangan RI no 16/M-DAG/PER2017 tentang Perdagangan Gula Kristal Rafinasi melalui Pasar Lelang Komoditas
98,2017-06-15T00:00:00,10:00:00,Rapat Panja Komisi VIII DPR RI mengenai RUU tentang Penyelenggaraan Ibadah Haji dan Umrah dengan Panja Pemerintah.     DITUNDA,Membahas DIM RUU tentang Penyelenggaraan Ibadah Haji dan Umrah.
99,2017-06-15T00:00:00,10:00:00,"RDPU dengan BPH Migas, Harmonisasi RUU Migas",.
100,2017-06-15T00:00:00,10:00:00,"RDP KOmisi II DPR RI dengan ORI, LAN, BKN, dan ANRI",Pendahuluan R-APBN 2018
101,2017-06-15T00:00:00,10:00:00,Rapat Dengar Pendapat Komisi IV DPR RI dengan Direktur Utama Perum BULOG,Membahas Subsidi Pangan 2018
102,2017-06-15T00:00:00,10:00:00,Rapat Kerja Komisi VIII DPR RI dengan Menteri Agama RI.,Rapat Kerja Lanjutan mengenai Pembahasan Pembicaraan Pendahuluan RAPBN dan RKP Tahun 2018.
103,2017-06-15T00:00:00,10:30:00,Rapat Kerja Komisi I DPR RI dengan Menhan RI & Panglima TNI.,Pembahasan RKA KL & RKP KL Kemhan RI dan Mabes TNI TA. 2018 & Isu aktual.
104,2017-06-15T00:00:00,11:00:00,Badan Anggaran DPR RI - Rapat Panja Kebijakan Belanja Pemerintah Pusat dengan Pemerintah,Membahas Kebijakan Belanja Pemerintah Pusat dalam RAPBN TA. 2018
105,2017-06-15T00:00:00,13:00:00,Rapat Intern Komisi VI DPR RI,Membahas Penyempurnaan RUU Perubahan UU No 19 tahun 2003 tentang BUMN
106,2017-06-15T00:00:00,13:00:00,"RDPU BALEG dengan BPH Migas dan SKKA, Harmonisasi RUU Migas",.
